time,H1,AVG_H1
2026-09-25 12:15:15,36,36
2026-09-25 12:18:12,35,36
2026-09-25 12:29:05,39,37
2026-09-25 12:40:31,36,36
2026-09-25 12:54:10,25,34
2026-09-25 13:05:05,28,33
2026-09-25 13:16:09,22,32
2026-09-25 13:24:51,30,31
2026-09-25 13:30:35,25,31
2026-09-25 13:43:28,26,30
2026-09-25 13:58:06,33,30
2026-09-25 14:11:09,67,34
2026-09-25 14:21:08,73,37
2026-09-25 14:28:54,67,39
2026-09-25 14:39:08,92,42
2026-09-25 14:53:36,89,45
2026-09-25 15:05:21,73,47
2026-09-25 15:16:22,78,49
