Strike price,12:15,12:18,12:29,12:40,12:54,13:05,13:16,13:24,13:30,13:43,13:58,14:11,14:21
22050,7,7,7,7,7,7,6,6,6,6,6,6,6
22100,10,10,9,9,9,9,8,9,8,9,9,10,10
22150,41,41,41,41,34,29,21,21,21,14,14,14,14
22200,4,4,4,4,4,4,6,6,6,6,6,6,9
22250,7,7,6,13,13,13,14,14,15,14,14,13,13
22300,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-8,-8
22350,7,7,7,7,7,6,5,5,5,5,4,4,3
22400,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-3,-2
22450,-6,-5,-6,-6,-6,-6,-7,-6,-6,-6,-6,-5,-6
22500,2,2,2,2,3,2,2,2,2,2,2,4,4
22550,-4,-3,-3,-1,-2,-4,-6,-6,-5,-10,-3,-5,-3
22600,4,4,4,4,4,4,4,4,4,4,4,4,4
22650,2,3,2,2,2,2,2,2,2,3,2,4,4
22700,-1,-1,0,-2,-5,-7,-5,-6,-7,-7,-7,-2,-2
22750,3,3,3,2,2,2,2,2,2,1,1,1,1
22800,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,2,2
22850,5,5,5,5,0,-2,-2,-1,-2,-3,-2,4,4
22900,-11,-12,-12,-12,-13,-15,-15,-15,-15,-16,-15,-6,-6
22950,-4,-3,-3,-3,-5,-9,-9,-10,-10,-12,-13,-1,0
23000,0,0,0,0,-1,-4,-4,-4,-4,-5,-5,3,2
23050,-2,-2,-2,-1,-10,-20,-20,-19,-19,-21,-23,6,6
23100,-3,-2,-3,-2,-6,-10,-9,-9,-10,-11,-11,5,5
23150,-1,-1,-1,-1,-2,-5,-6,-5,-5,-5,-6,15,15
23200,-2,-2,-2,-2,-1,-3,-2,-2,-2,-3,-3,5,5
23250,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-2,0,1
23300,-3,-3,-3,-3,-3,-4,-4,-4,-4,-4,-4,0,-1
23350,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-3,-3
23400,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1
23450,-3,-3,-2,-2,-3,-3,-3,-3,-3,-3,-3,-2,-3
23500,-2,-2,-2,-3,-3,-3,-3,-3,-3,-3,-3,-2,-2
23550,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-3,-2,-3
23600,-1,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-1,-1
23650,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-2,-1,-2
23700,-2,-2,-2,-2,-1,-1,-1,-2,-2,-2,-2,-2,-1
23750,0,0,0,0,-1,-1,-2,-2,-2,-2,-3,0,0
23800,-4,-4,-4,-4,-4,-4,-4,-4,-5,-4,-5,-3,-3
23850,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-3,-2,-2
23900,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0
23950,1,1,1,1,1,1,1,1,1,1,1,1,1
24000,0,0,0,0,0,0,0,0,0,0,0,0,0
